Name,Location,Ranking,ProgramDetails,TuitionFees
University of Canterbury,New Zealand,Not in the top ranks,Bachelor's in Fine Arts,"High school diploma, portfolio submission, IELTS 6.5","NZ$25,000 per year",High school diploma,6.5
University of Milan,Italy,Not in the top ranks,Master's in Fashion Management,"Bachelor's degree, relevant work experience, IELTS 6.5","€3,500 per year",Bachelor's degree,6.5
University of Milan,Italy,Not in the top ranks,Bachelor's in Biotechnology,"High school diploma, science background, IELTS 6.0","€3,000 per year",High school diploma,6.0
University of Portsmouth,United Kingdom,601-800 (Times Higher Education World University Rankings 2021),Bachelor of Business Administration,"Minimum 60% in 12th grade, IELTS 6.0","£14,900 per year",60%,6.0
University of Portsmouth,United Kingdom,601-800 (Times Higher Education World University Rankings 2021),Master of Science in Computer Science,"Bachelor's degree in related field, IELTS 6.5","£15,900 per year",Bachelor's degree,6.5
"University of Newcastle, Australia",Australia,207 (QS World University Rankings 2022),Bachelor of Arts in Psychology,"Minimum ATAR 70, IELTS 6.5","AUD 30,000 per year",ATAR 70,6.5
"University of Newcastle, Australia",Australia,207 (QS World University Rankings 2022),Master of Engineering Management,"Bachelor's degree in Engineering, IELTS 6.5","AUD 35,000 per year",Bachelor's degree,6.5
University of Bremen,Germany,Not in the top rankings,Computer Science,"Minimum GPA of 2.5, IELTS 6.0","$4,000 per year",2.5,6.0
University of Bremen,Germany,Not in the top rankings,Environmental Studies,"Minimum GPA of 2.7, IELTS 6.5","$3,500 per year",2.7,6.5
University of Bremen,Germany,Not in the top rankings,Economics,"Minimum GPA of 3.0, IELTS 6.5","$4,200 per year",3.0,6.5
University of Saskatchewan,Canada,Not in the top rankings,Psychology,"Minimum GPA of 3.0, IELTS 6.5","$8,000 per year",3.0,6.5
University of Saskatchewan,Canada,Not in the top rankings,Civil Engineering,"Minimum GPA of 2.8, IELTS 6.0","$9,500 per year",2.8,6.0
University of Saskatchewan,Canada,Not in the top rankings,Sociology,"Minimum GPA of 3.2, IELTS 6.5","$7,200 per year",3.2,6.5
Deakin University,Australia,Not in the top rankings,Film Production,"Minimum GPA of 2.5, IELTS 6.0","$10,000 per year",2.5,6.0
Deakin University,Australia,Not in the top rankings,Nutrition and Dietetics,"Minimum GPA of 3.0, IELTS 6.5","$9,500 per year",3.0,6.5
Deakin University,Australia,Not in the top rankings,Information Technology,"Minimum GPA of 2.8, IELTS 6.0","$11,200 per year",2.8,6.0
Technical University of Dortmund,Germany,Not in top rankings,Computer Science,"High school diploma, good grades in math and computer science subjects","$1,000 per semester",Minimum 80% average,6.0
Technical University of Dortmund,Germany,Not in top rankings,Mechanical Engineering,"High school diploma, strong foundation in physics and mathematics","$1,200 per semester",Minimum 75% average,6.5
University of North Carolina at Greensboro,USA,Regional ranking,Hospitality Management,"High school diploma, interest in hospitality industry","$8,000 per semester",Minimum 70% average,6.0
University of North Carolina at Greensboro,USA,Regional ranking,Public Health,"High school diploma, basic understanding of biology and health sciences","$7,500 per semester",Minimum 65% average,6.5
University of Bradford,UK,Not in top rankings,Archaeology,"High school diploma, interest in history and archaeology","$9,000 per semester",Minimum 75% average,6.5
University of Bradford,UK,Not in top rankings,Creative Writing,"High school diploma, passion for writing and literature","$8,500 per semester",Minimum 70% average,6.0
Bauhaus-Universität Weimar,Germany,Not in the top rankings,Architecture,"High school diploma, Letter of motivation, Portfolio, Grade average of 2.5 or better, IELTS 6.5","Approx. €1,500 per semester",2.5 or better,6.5
Bauhaus-Universität Weimar,Germany,Not in the top rankings,Media Studies,"High school diploma, Letter of motivation, Writing sample, Grade average of 2.5 or better, IELTS 6.5","Approx. €1,500 per semester",2.5 or better,6.5
University of Southern Queensland,Australia,Not in the top rankings,Environmental Science,"High school diploma, Statement of purpose, Grade average of 70% or better, IELTS 6.0","Approx. AUD $23,040 per year",70% or better,6.0
University of Southern Queensland,Australia,Not in the top rankings,Information Technology,"High school diploma, Letter of recommendation, Grade average of 65% or better, IELTS 6.0","Approx. AUD $25,440 per year",65% or better,6.0
University of Northern British Columbia,Canada,Not in the top rankings,Forestry,"High school diploma, Resume/CV, Grade average of 70% or better, IELTS 6.5","Approx. CAD $7,400 per year",70% or better,6.5
University of Northern British Columbia,Canada,Not in the top rankings,Outdoor Recreation and Conservation,"High school diploma, Personal statement, Grade average of 65% or better, IELTS 6.0","Approx. CAD $6,200 per year",65% or better,6.0
University of Northampton,UK,Not in the top rankings,Criminology,"High school diploma, Personal statement, Grade average of 60% or better, IELTS 6.0","Approx. £13,750 per year",60% or better,6.0
University of Northampton,UK,Not in the top rankings,Fashion Marketing and Business,"High school diploma, Portfolio, Grade average of 65% or better, IELTS 6.5","Approx. £14,500 per year",65% or better,6.5
"California State University, Chico",USA,Not in the top rankings,Agriculture,"High school diploma, Letter of recommendation, Grade average of 3.0 or better, IELTS 6.5","Approx. $8,268 per year (in-state)",3.0 or better,6.5
"California State University, Chico",USA,Not in the top rankings,Nursing,"High school diploma, Personal statement, Grade average of 3.2 or better, IELTS 7.0","Approx. $18,204 per year (in-state)",3.2 or better,7.0
University of Calcutta,India,Not in the top rankings,Physics,"High school diploma, Entrance exam, Grade average of 50% or better, IELTS 6.0","Approx. INR 10,000 per year",50% or better,6.0
University of Calcutta,India,Not in the top rankings,Economics,"High school diploma, Interview, Grade average of 55% or better, IELTS 6.5","Approx. INR 12,000 per year",55% or better,6.5
"University of Nevada, Las Vegas",USA,Not in Top Rankings,Bachelor of Science in Computer Science,"High School Diploma, SAT score of at least 1100, IELTS 6.5","$24,338 per year",Minimum GPA of 2.5 on a 4.0 scale,6.5
"University of Nevada, Las Vegas",USA,Not in Top Rankings,Bachelor of Arts in Psychology,"High School Diploma, SAT score of at least 1000, IELTS 6.0","$23,117 per year",Minimum GPA of 2.5 on a 4.0 scale,6.0
"University of Nevada, Las Vegas",USA,Not in Top Rankings,Master of Business Administration,"Bachelor's degree, GMAT score of at least 500, IELTS 6.5","$21,000 per year",Minimum GPA of 3.0 on a 4.0 scale,6.5
University of Canberra,Australia,Not in Top Rankings,Bachelor of Nursing,"High School Diploma, ATAR score of at least 70, IELTS 7.0","$27,800 per year",Minimum GPA of 2.0 on a 4.0 scale,7.0
University of Canberra,Australia,Not in Top Rankings,Bachelor of Information Technology,"High School Diploma, ATAR score of at least 65, IELTS 6.5","$26,000 per year",Minimum GPA of 2.0 on a 4.0 scale,6.5
University of Canberra,Australia,Not in Top Rankings,Master of Engineering in Civil and Infrastructure,"Bachelor's degree, GPA of at least 2.5, IELTS 6.5","$29,500 per year",Minimum GPA of 2.5 on a 4.0 scale,6.5
Bangalore University,India,Not in Top Rankings,Bachelor of Commerce,"12th Standard Certificate, Minimum 50% marks, IELTS 6.0","INR 10,000 per year",Minimum 50% marks,6.0
Bangalore University,India,Not in Top Rankings,Bachelor of Science in Computer Applications,"12th Standard Certificate, Minimum 50% marks, IELTS 6.0","INR 12,000 per year",Minimum 50% marks,6.0
Bangalore University,India,Not in Top Rankings,Master of Arts in English Literature,"Bachelor's degree, Minimum 50% marks, IELTS 6.5","INR 15,000 per year",Minimum 50% marks,6.5
University of Giessen,Germany,Not in top rankings,Bachelor of Arts in English Studies,"High school diploma equivalent to German Abitur, C1 level in English, IELTS 6.5",€500 per semester,Minimum GPA 2.5,6.5
University of Giessen,Germany,Not in top rankings,Master of Science in Environmental Management,"Bachelor's degree in relevant field, B2 level in English, IELTS 6.0",€650 per semester,Minimum GPA 2.7,6.0
University of Idaho,USA,Not in top rankings,Bachelor of Science in Psychology,"High school diploma, SAT score of 1000, IELTS 6.0","$8,304 per semester",Minimum GPA 2.0,6.0
University of Idaho,USA,Not in top rankings,Master of Education in Curriculum and Instruction,"Bachelor's degree in education, GRE score of 290, IELTS 6.5","$7,176 per semester",Minimum GPA 2.5,6.5
University of Roehampton,UK,Not in top rankings,Bachelor of Science in Biomedical Science,"High school diploma, IELTS 6.0","£9,250 per year",Minimum GPA 2.5,6.0
University of Roehampton,UK,Not in top rankings,Master of Arts in International Relations,"Bachelor's degree, IELTS 6.5","£11,000 per year",Minimum GPA 2.7,6.5
Murdoch University,Australia,Not in top rankings,Bachelor of Engineering,"High school diploma, ATAR 70, IELTS 6.0","A$27,720 per year",Minimum GPA 2.5,6.0
Murdoch University,Australia,Not in top rankings,Master of Business Administration,"Bachelor's degree, GMAT score of 500, IELTS 6.5","A$33,600 per year",Minimum GPA 2.7,6.5
University of Suffolk,United Kingdom,Not in the top rankings,Bachelor of Arts in English Literature,"High school diploma or equivalent, English proficiency test (IELTS 6.0)","$12,000 per year",Minimum B average in high school,6.0
University of Suffolk,United Kingdom,Not in the top rankings,Master of Business Administration,"Bachelor's degree, English proficiency test (IELTS 6.5)","$15,000 per year",Minimum B grade in undergraduate studies,6.5
University of Western Sydney,Australia,Rank not disclosed,Bachelor of Science in Environmental Science,"High school diploma, English proficiency test (IELTS 6.0)","$14,500 per year",Minimum B average in high school with science subjects,6.0
University of Western Sydney,Australia,Rank not disclosed,Master of Public Health,"Bachelor's degree, English proficiency test (IELTS 6.5)","$17,000 per year",Minimum B grade in relevant undergraduate studies,6.5
Freie Universität Berlin,Germany,Not in the top rankings,Bachelor of Laws,"High school diploma, German proficiency test, English proficiency test (IELTS 6.5)","€1,500 per semester",Minimum B average in high school,6.5
Freie Universität Berlin,Germany,Not in the top rankings,Master of Economics,"Bachelor's degree, German proficiency test, English proficiency test (IELTS 7.0)","€1,000 per semester",Minimum B grade in relevant undergraduate studies,7.0
University of Oregon,United States,Not in the top rankings,Bachelor of Fine Arts in Studio Art,"High school diploma, English proficiency test (IELTS 6.0)","$20,000 per year",Minimum B average in high school with art portfolio,6.0
University of Oregon,United States,Not in the top rankings,Master of Education,"Bachelor's degree, English proficiency test (IELTS 6.5)","$25,000 per year",Minimum B grade in relevant undergraduate studies,6.5
Universität Kassel,Germany,Not in top rankings,Bachelor in Computer Science,"High School Diploma, Mathematics background, IELTS 6.0","$2,000 per year",Minimum GPA 3.0,6.0
Universität Kassel,Germany,Not in top rankings,Master in Environmental Management,"Bachelor's degree in related field, IELTS 6.5","$3,500 per year",Minimum GPA 3.2,6.5
University of Louisiana at Lafayette,USA,Regional university,Bachelor in Nursing,"High School Diploma, Biology background, IELTS 6.5","$8,000 per year",Minimum GPA 2.5,6.5
University of Louisiana at Lafayette,USA,Regional university,Master in Industrial Engineering,"Bachelor's degree in Engineering, IELTS 6.5","$9,500 per year",Minimum GPA 3.0,6.5
Edinburgh Napier University,UK,Not in top rankings,Bachelor in Business Management,"High School Diploma, Business background, IELTS 6.5","£9,000 per year",Minimum GPA 2.8,6.5
Edinburgh Napier University,UK,Not in top rankings,Master in Data Science,"Bachelor's degree in Computer Science, IELTS 7.0","£10,500 per year",Minimum GPA 3.0,7.0
"University of Newcastle, Callaghan",Australia,Not in top rankings,Bachelor in Civil Engineering,"High School Diploma, Mathematics background, IELTS 6.0","AUD $7,000 per year",Minimum GPA 3.0,6.0
"University of Newcastle, Callaghan",Australia,Not in top rankings,Master in Education,"Bachelor's degree in Education, IELTS 6.5","AUD $9,000 per year",Minimum GPA 3.2,6.5
"Indian Institute of Science Education and Research, Pune",India,Not in top rankings,Integrated PhD in Chemistry,"Bachelor's degree in Chemistry, IELTS 6.0","INR 50,000 per year",Minimum GPA 3.2,6.0
"Indian Institute of Science Education and Research, Pune",India,Not in top rankings,PhD in Physics,"Master's degree in Physics, IELTS 6.5","INR 60,000 per year",Minimum GPA 3.5,6.5
Memorial University of Newfoundland,Canada,Not available,Bachelor of Arts in Economics,"High school diploma, minimum 70% average","$11,460 CAD per year",70%,6.5
Memorial University of Newfoundland,Canada,Not available,Bachelor of Science in Computer Science,"High school diploma, minimum 75% average including math and science subjects","$11,460 CAD per year",75%,6.5
University of East London,UK,Not available,Bachelor of Science in Psychology,"High school diploma, minimum 60% average","£12,500 per year",60%,6.0
University of East London,UK,Not available,Bachelor of Arts in English Literature,"High school diploma, minimum 65% average in English subjects","£12,500 per year",65%,6.0
Amrita Vishwa Vidyapeetham,India,Not available,Bachelor of Technology in Computer Science,"High school diploma, minimum 70% average in science subjects","₹2,50,000 per year",70%,6.0
Amrita Vishwa Vidyapeetham,India,Not available,Bachelor of Business Administration,"High school diploma, minimum 65% average","₹2,50,000 per year",65%,6.0
University of Arkansas at Little Rock,USA,Not available,Bachelor of Science in Nursing,"High school diploma, minimum 3.0 GPA","$18,042 per year",3.0 GPA,6.5
University of Arkansas at Little Rock,USA,Not available,Bachelor of Arts in History,"High school diploma, minimum 2.5 GPA","$18,042 per year",2.5 GPA,6.5
University of Wollongong Dubai,United Arab Emirates,Not available,Bachelor of Engineering (Civil),"High school diploma, minimum 60% average in math and science subjects","AED 79,500 per year",60%,6.0
University of Wollongong Dubai,United Arab Emirates,Not available,Bachelor of Commerce,"High school diploma, minimum 55% average","AED 79,500 per year",55%,6.0
University of Southern Mississippi,United States,Not in the top 500,Bachelor of Science in Computer Science,"Minimum GPA of 2.5, IELTS 6.0","$8,896 per semester",2.5 GPA or equivalent,6.0
University of Southern Mississippi,United States,Not in the top 500,Bachelor of Arts in Psychology,"Minimum GPA of 2.0, IELTS 6.5","$8,896 per semester",2.0 GPA or equivalent,6.5
University of Southern Mississippi,United States,Not in the top 500,Bachelor of Business Administration,"Minimum GPA of 2.5, IELTS 6.0","$8,896 per semester",2.5 GPA or equivalent,6.0
University of Hertfordshire,United Kingdom,Not in the top 500,Bachelor of Engineering in Aerospace Engineering,"Minimum 112 UCAS points, IELTS 6.0","£13,000 per year",112 UCAS points,6.0
University of Hertfordshire,United Kingdom,Not in the top 500,Bachelor of Arts in Graphic Design,"Minimum 96 UCAS points, IELTS 6.5","£12,350 per year",96 UCAS points,6.5
University of Hertfordshire,United Kingdom,Not in the top 500,Bachelor of Science in Biomedical Science,"Minimum 120 UCAS points, IELTS 6.5","£13,500 per year",120 UCAS points,6.5
Ryerson University,"Toronto, Canada",Non-ranked,Bachelor of Arts in Psychology,"Minimum 75% average in high school courses, IELTS 6.5","$8,000 - $15,000 CAD per year",75% average,6.5
Ryerson University,"Toronto, Canada",Non-ranked,Bachelor of Engineering in Civil Engineering,"Minimum 80% average in high school courses, IELTS 6.5","$10,000 - $18,000 CAD per year",80% average,6.5
University of Technology Sydney (UTS),"Sydney, Australia",Non-ranked,Bachelor of Science in Information Technology,"ATAR of 75 or higher, IELTS 6.0","$25,000 - $35,000 AUD per year",ATAR 75+,6.0
University of Technology Sydney (UTS),"Sydney, Australia",Non-ranked,Bachelor of Business,"ATAR of 80 or higher, IELTS 6.5","$30,000 - $40,000 AUD per year",ATAR 80+,6.5
University of Sussex,"Brighton, UK",Non-ranked,Bachelor of Laws (LLB),"A-levels AAA, IELTS 7.0","£15,000 - £20,000 per year",A-levels AAA,7.0
University of Sussex,"Brighton, UK",Non-ranked,Bachelor of Science in Computer Science,"A-levels AAB, IELTS 6.5","£18,000 - £25,000 per year",A-levels AAB,6.5
University of Houston,"Houston, USA",Non-ranked,Bachelor of Arts in English,"SAT 1200, IELTS 6.0","$9,000 - $15,000 USD per semester",SAT 1200,6.0
University of Houston,"Houston, USA",Non-ranked,Bachelor of Science in Mechanical Engineering,"SAT 1300, IELTS 6.5","$11,000 - $18,000 USD per semester",SAT 1300,6.5
Jadavpur University,"Kolkata, India",Non-ranked,Bachelor of Science in Chemistry,"Minimum 60% in high school, IELTS 6.0","INR 10,000 - 20,000 per year",60% in high school,6.0
Jadavpur University,"Kolkata, India",Non-ranked,Bachelor of Arts in Economics,"Minimum 65% in high school, IELTS 6.5","INR 12,000 - 22,000 per year",65% in high school,6.5
Royal Roads University,"Victoria, Canada",Not ranked,Bachelor of Arts in Professional Communication,"Minimum GPA of 2.5, IELTS 6.5","$8,800 per term",2.5,6.5
Royal Roads University,"Victoria, Canada",Not ranked,Bachelor of Science in Environmental Science,"Minimum GPA of 2.0, IELTS 6.5","$8,800 per term",2.0,6.5
University of Lethbridge,Canada,Not in the top 500,Bachelor of Arts in Psychology,"High school diploma, minimum GPA of 2.5","$12,000 per year",Minimum GPA of 2.5,Overall band score of 6.0
University of Lethbridge,Canada,Not in the top 500,Bachelor of Management,"High school diploma, minimum GPA of 2.5","$14,000 per year",Minimum GPA of 2.5,Overall band score of 6.5
University of South Wales,United Kingdom,601-800,BSc (Hons) Computing,"High school diploma, relevant subjects, minimum 240 UCAS points","£12,000 per year",Minimum 240 UCAS points,Overall band score of 6.0
University of South Wales,United Kingdom,601-800,BA (Hons) Business Studies,"High school diploma, relevant subjects, minimum 260 UCAS points","£11,500 per year",Minimum 260 UCAS points,Overall band score of 6.5
University of Central Lancashire,United Kingdom,801-1000,BSc (Hons) Forensic Science,"High school diploma, relevant subjects, minimum 240 UCAS points","£13,000 per year",Minimum 240 UCAS points,Overall band score of 6.0
University of Central Lancashire,United Kingdom,801-1000,BA (Hons) Fashion Promotion,"High school diploma, relevant subjects, minimum 260 UCAS points","£12,500 per year",Minimum 260 UCAS points,Overall band score of 6.5
University of the Sunshine Coast,Australia,Not in the top 500,Bachelor of Science (Biotechnology),"High school diploma, relevant subjects, minimum ATAR of 70","AUD $25,000 per year",Minimum ATAR of 70,Overall band score of 6.0
University of the Sunshine Coast,Australia,Not in the top 500,Bachelor of Business (Marketing),"High school diploma, relevant subjects, minimum ATAR of 75","AUD $26,000 per year",Minimum ATAR of 75,Overall band score of 6.5
University of Southern Indiana,United States,Not in the top 500,Bachelor of Science in Nursing,"High school diploma, prerequisite courses, minimum GPA of 2.5","$18,000 per year",Minimum GPA of 2.5,Overall band score of 6.0
University of Southern Indiana,United States,Not in the top 500,Bachelor of Arts in Communication Studies,"High school diploma, minimum GPA of 2.5","$16,000 per year",Minimum GPA of 2.5,Overall band score of 6.5
University of Applied Sciences Europe,Germany,Not in the top 500,Bachelor in Business Administration,"High school diploma, relevant subjects, minimum GPA of 2.5","€15,000 per year",Minimum GPA of 2.5,Overall band score of 6.0
University of Applied Sciences Europe,Germany,Not in the top 500,Bachelor in Digital Media Design,"High school diploma, relevant subjects, portfolio, minimum GPA of 2.5","€16,000 per year",Minimum GPA of 2.5,Overall band score of 6.5
University of Jyväskylä,"Jyväskylä, Finland",Not in the top rankings,Bachelor of Science in Computer Science,"High school diploma, Mathematics background, Statement of Purpose","Approx. €12,000 per year",Minimum GPA of 3.0,Overall 6.5
University of Jyväskylä,"Jyväskylä, Finland",Not in the top rankings,Master of Arts in Education,"Bachelor's degree, Letter of Recommendation, Statement of Purpose","Approx. €8,000 per year",Minimum GPA of 2.75,Overall 6.0
University of Worcester,"Worcester, United Kingdom",Not in the top rankings,Bachelor of Nursing,"High school diploma, Health-related subjects, Personal Statement","Approx. £9,250 per year",Minimum GPA of 2.8,Overall 7.0
University of Worcester,"Worcester, United Kingdom",Not in the top rankings,Master of Business Administration,"Bachelor's degree, Work experience, Letter of Recommendation","Approx. £12,500 per year",Minimum GPA of 3.0,Overall 6.5
University of Winnipeg,"Winnipeg, Canada",Not in the top rankings,Bachelor of Arts in Psychology,"High school diploma, Psychology background, Personal Statement","Approx. CAD$15,000 per year",Minimum GPA of 2.5,Overall 6.5
University of Winnipeg,"Winnipeg, Canada",Not in the top rankings,Master of Science in Applied Computer Science,"Bachelor's degree in CS or related field, Statement of Purpose, Resume/CV","Approx. CAD$20,000 per year",Minimum GPA of 3.0,Overall 6.0
University of Rostock,Germany,Not in the top ranks,Bachelor of Computer Science,"High school diploma, Mathematics background",€500 per semester for international students,Minimum GPA 2.5,6.0
University of Rostock,Germany,Not in the top ranks,Master of Mechanical Engineering,Bachelor's degree in related field,"€1,500 per semester for international students",Minimum GPA 3.0,6.5
University of North Dakota,USA,Not in the top ranks,Bachelor of Fine Arts,"Portfolio submission, High school diploma","$16,000 per year for international students",Minimum GPA 2.0,6.0
University of North Dakota,USA,Not in the top ranks,Master of Public Administration,Bachelor's degree in any discipline,"$20,000 per year for international students",Minimum GPA 2.5,6.5
Carleton University,Canada,Not in the top ranks,Bachelor of Journalism,"Writing samples, High school diploma","CAD 25,000 per year for international students",Minimum GPA 2.5,6.5
Carleton University,Canada,Not in the top ranks,Master of Economics,Bachelor's degree in Economics or related field,"CAD 30,000 per year for international students",Minimum GPA 3.0,7.0
Jawaharlal Nehru University,India,Not in the top ranks,Bachelor of Arts in International Relations,"High school diploma, Entrance exam","INR 30,000 per year for international students",Minimum 60% in high school,6.0
Jawaharlal Nehru University,India,Not in the top ranks,Master of Science in Biotechnology,Bachelor's degree in Biological Sciences,"INR 40,000 per year for international students",Minimum 65% in bachelor's degree,6.5
University of Bielefeld,Germany,Not in top rankings,Bachelor in Computer Science,"High school diploma, strong background in mathematics","$1,000 per semester",Minimum 70% GPA,6.0
University of Bielefeld,Germany,Not in top rankings,Master in Environmental Studies,Bachelor's degree in related field,"$1,500 per semester",Minimum 3.0 GPA,6.5
University of North Florida,USA,Not in top rankings,Bachelor in Psychology,High school diploma,"$8,000 per semester",Minimum 2.5 GPA,6.0
University of North Florida,USA,Not in top rankings,Master in Public Administration,Bachelor's degree in any field,"$9,500 per semester",Minimum 3.0 GPA,6.5
Lakehead University,Canada,Not in top rankings,Bachelor in Business Administration,High school diploma,"$7,500 per semester",Minimum 75% GPA,6.5
Lakehead University,Canada,Not in top rankings,Master in Engineering Management,Bachelor's degree in engineering,"$10,000 per semester",Minimum 3.0 GPA,7.0
"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,Not in top rankings,Bachelor in Mining Engineering,High school diploma with science subjects,"INR 60,000 per semester",Minimum 75% GPA,6.0
"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,Not in top rankings,Master in Geology,Bachelor's degree in related field,"INR 70,000 per semester",Minimum 3.0 GPA,6.5
University of Leipzig,Germany,501-600,Bachelor in Business Administration,"High School Diploma, GPA above 2.5","$3,000 per semester",2.5 GPA,6.0
University of Leipzig,Germany,501-600,Master in Computer Science,"Bachelor's degree in related field, GPA above 3.0","$4,500 per semester",3.0 GPA,6.5
University of Leipzig,Germany,501-600,PhD in Linguistics,Master's degree in linguistics or related field,No tuition fees for PhD candidates,N/A,7.0
University of Louisville,USA,601-800,Bachelor in Psychology,"High School Diploma, GPA above 2.0","$10,000 per semester",2.0 GPA,6.5
University of Louisville,USA,601-800,Master in Public Health,"Bachelor's degree in related field, GPA above 3.0","$12,000 per semester",3.0 GPA,6.5
University of Louisville,USA,601-800,PhD in Mechanical Engineering,"Master's degree in engineering, GRE scores, GPA above 3.5","$15,000 per semester",3.5 GPA,7.0
University of Adelaide,Australia,201-250,Bachelor of Nursing,"High School Diploma, GPA above 2.5","$25,000 per year",2.5 GPA,7.0
University of Adelaide,Australia,201-250,Master of Architecture,"Bachelor's degree in related field, GPA above 3.0","$30,000 per year",3.0 GPA,7.0
University of Adelaide,Australia,201-250,PhD in Environmental Science,Master's degree in environmental science or related field,"$35,000 per year",N/A,7.0
University of Paderborn,Germany,Not in the top 500,Computer Science,"High school diploma, GPA of at least 2.5, IELTS 6.0","$3,000 per semester",GPA 2.5 and above,6.0
University of Paderborn,Germany,Not in the top 500,Business Administration,"High school diploma, GPA of at least 2.7, IELTS 6.5","$3,500 per semester",GPA 2.7 and above,6.5
University of Louisiana at Monroe,USA,Not in the top 500,Nursing,"Bachelor's degree in Nursing, GPA of at least 3.0, IELTS 6.5","$8,000 per semester",GPA 3.0 and above,6.5
University of Louisiana at Monroe,USA,Not in the top 500,Criminal Justice,"High school diploma, GPA of at least 2.5, IELTS 6.0","$7,500 per semester",GPA 2.5 and above,6.0
University of Lincoln,UK,Not in the top 500,International Relations,"Bachelor's degree in related field, GPA of at least 3.0, IELTS 6.5","£9,000 per year",GPA 3.0 and above,6.5
University of Lincoln,UK,Not in the top 500,Media Studies,"High school diploma, GPA of at least 2.7, IELTS 6.0","£8,500 per year",GPA 2.7 and above,6.0
"University of Newcastle, Singapore",Australia,Not in the top 500,Hospitality Management,"Bachelor's degree in related field, GPA of at least 3.2, IELTS 6.5","AUD $10,000 per semester",GPA 3.2 and above,6.5
"University of Newcastle, Singapore",Australia,Not in the top 500,Environmental Science,"High school diploma, GPA of at least 2.8, IELTS 6.0","AUD $9,500 per semester",GPA 2.8 and above,6.0
Banaras Hindu University,India,Not in the top 500,History,"Bachelor's degree in related field, GPA of at least 2.5, IELTS 6.0","INR 30,000 per semester",GPA 2.5 and above,6.0
Banaras Hindu University,India,Not in the top 500,Chemistry,"High school diploma, GPA of at least 2.7, IELTS 6.5","INR 35,000 per semester",GPA 2.7 and above,6.5
University of Rennes 1,France,Not Ranked,Computer Science,"High school diploma, Mathematics background","$3,000 per year",70% or equivalent,6.0
University of Rennes 1,France,Not Ranked,Business Administration,High school diploma,"$3,500 per year",65% or equivalent,6.5
University of Rennes 1,France,Not Ranked,Psychology,High school diploma,"$3,200 per year",60% or equivalent,6.0
University of Rennes 1,France,Not Ranked,Civil Engineering,"High school diploma, Mathematics background","$3,300 per year",65% or equivalent,6.5
University of Rennes 1,France,Not Ranked,International Relations,High school diploma,"$3,400 per year",70% or equivalent,6.0
University of Rennes 1,France,Not Ranked,Environmental Science,"High school diploma, Science background","$3,100 per year",60% or equivalent,6.0
University of Rennes 1,France,Not Ranked,Marketing,High school diploma,"$3,500 per year",65% or equivalent,6.5
University of Rennes 1,France,Not Ranked,Media Studies,High school diploma,"$3,200 per year",60% or equivalent,6.0
University of Rennes 1,France,Not Ranked,History,High school diploma,"$3,300 per year",65% or equivalent,6.5
University of Rennes 1,France,Not Ranked,Economics,"High school diploma, Mathematics background","$3,400 per year",70% or equivalent,6.0
University of South Carolina Upstate,USA,Not in top rankings,Bachelor of Science in Nursing,"Minimum GPA of 3.0, IELTS 6.5","$12,000 per year",3.0 GPA,6.5
University of South Carolina Upstate,USA,Not in top rankings,Bachelor of Business Administration,"Minimum GPA of 2.5, IELTS 6.0","$10,000 per year",2.5 GPA,6.0
University of South Carolina Upstate,USA,Not in top rankings,Bachelor of Arts in Psychology,"Minimum GPA of 2.8, IELTS 6.0","$9,500 per year",2.8 GPA,6.0
University of Southern Cross,Australia,Not in top rankings,Bachelor of Information Technology,"Minimum GPA of 2.5, IELTS 6.0","$15,000 per year",2.5 GPA,6.0
University of Southern Cross,Australia,Not in top rankings,Bachelor of Education,"Minimum GPA of 2.8, IELTS 6.5","$14,000 per year",2.8 GPA,6.5
University of Southern Cross,Australia,Not in top rankings,Bachelor of Science in Environmental Science,"Minimum GPA of 3.0, IELTS 6.5","$16,000 per year",3.0 GPA,6.5
University of Wolverhampton,UK,Not in top rankings,Bachelor of Law,"Minimum GPA of 2.8, IELTS 6.5","£11,000 per year",2.8 GPA,6.5
University of Wolverhampton,UK,Not in top rankings,Bachelor of Engineering,"Minimum GPA of 2.5, IELTS 6.0","£10,500 per year",2.5 GPA,6.0
University of Wolverhampton,UK,Not in top rankings,Bachelor of Arts in English Literature,"Minimum GPA of 2.7, IELTS 6.0","£9,500 per year",2.7 GPA,6.0
University of Koblenz-Landau,Germany,Not ranked,Computer Science,"High school diploma, good grades in mathematics and science subjects","$1,500 per semester",Minimum 70%,6.0
University of Koblenz-Landau,Germany,Not ranked,Environmental Sciences,"High school diploma, background in biology or chemistry","$1,500 per semester",Minimum 65%,6.5
University of North Alabama,USA,Not ranked,Hospitality Management,"High school diploma, relevant work experience","$8,000 per semester",Minimum 60%,6.0
University of North Alabama,USA,Not ranked,Music Education,"High school diploma, musical proficiency","$7,500 per semester",Minimum 65%,6.5
University of Prince Edward Island,Canada,Not ranked,Marine Biology,"High school diploma, strong background in biology","$6,000 per semester",Minimum 70%,6.5
University of Prince Edward Island,Canada,Not ranked,History,"High school diploma, passion for historical studies","$5,500 per semester",Minimum 65%,6.0
University of Chester,UK,Not ranked,Psychology,"High school diploma, interest in human behavior","$9,000 per semester",Minimum 65%,6.5
